title,artist,mappers,difficulties_amount,version
Fascination MAXX,100-200-400,Crucru03,1,1
Suzuya Homerarete Nobiru Type Nandesu,166,M4eu,1,1
NS22,3034,Noobisnotbad1,1,1
Breakout,3D Dot Game Heroes,Username_NotRequired,1,1
Star Rider,3R2,Azurlexx,1,1
House,3rd Prototype & Emdi,Cruwev,1,1
Forbidden,403 ERROR xi vs. ZUMMER,Azurlexx,1,1
666,Roughsketch,Waterbottle317,1,1
Bury Me Low,8 Graves,Crucru03,1,1
Smoked Turkey Rag,a hisa,UsernameNotRequired,1,1
Mario Canyon,Ñ½Ñ¦kíÒ,Username_NotRequired,1,1
beepbit ⁂ futures,AAAA vs. Frums,Azurlexx,1,1
Hoshizora no kanran-sha,AAAA,BluPros,1,1
"Sakase Natsuzora, Koi no Hana.",AAAA + yadrigg,Azurlexx,1,1
Dancin (KRONO Remix) Brazilian Portugese Cover,Aaron Smith,FrozeniumZ,1,1
Dancin (KRONO REMIX) (Frozentual Cover),Aaron Smith,FrozeniumZ,1,1
Coma,Ace Aura,ZitroNitro,1,1
Flow,Ace Aura,WaterBottle317,1,1
Crazy on Emotion,Ace,Username_NotRequired,1,1
Wait For You,Ace,Username_NotRequired,1,1
Memory Lane,AcesToAces,ZitroNitro,1,1
Cryptik Dance,Ade,Crucru03,1,1
Music (Day Theme),Adopt Me!,Avibah4uu2 & Noobisnotbad1 & Frozentual & AshFromKaaba,1,1
Dust and Rain,Adust Rain,KindClutch,1,1
Otherside Dance Fall!!!,Adust Rain,KindClutch,1,1
Psychology,Adust Rain,Water,1,1
Before The End,Aekhlorią,nextro420,1,1
FIGHT,Aests,Pinchyl,1,1
Killer,Aeswa,fogsaturate,1,1
Triangles,AGOSTI,OKZitro,1,1
Onegai Muscle,Ai Fariuz,Naoriwa,1,1
say you like my stuff,aimaiitsu,Avibah4uu2,1,1
Nimensei Uraomote Life!,Aimi Tanaka,M4eu,1,1
Suomi,Aire,keldeoroks,1,1
Monochrome Butterfly (Sped Up),Aitsuki Nakuru,mm1678YT,1,1
Doraemon (Sped Up),Akatsuki,Plxsma_RBLX,1,1
Ether Strike,Akira Complex,HaxagonYT,1,1
250bpm,Akira Yamaoka,OKZitro,1,1
Enigma Helix,akq  Redeilia,GDWither,1,1
Axium Crisis,ak+q,Azurlexx,1,1
KAHOOT IT (Remix),Alf Inge Wang,doofyplayer,1,1
Clockwork,Alias Conrad Coldwood,OKPalco,1,1
Front Gate,Alias Conrad Coldwood,Crucru03,1,1
Pepper Steak,Alias Conrad Coldwood,Crucru03,1,1
The Meaning Of His Tears,Alias Conrad Coldwood,OKPalco,1,1
The Race Of a Thousand Ants,Alias Conrad Coldwood,OKPalco,1,1
Windows Licking,Alias Conrad Coldwood,Crucru03,1,1
Tsumamix,Alicemetix,DyamoDash,1,1
Ramen Jiro Mashup,Alicemetix_VIP,DyamoDash,1,1
Space Time (Amane Hardcore remix),Amane,OKZitro,1,1
Berdthday boy,an0nymooose,Meteor_Melee,1,1
dancing all night,android52,OKZitro,1,1
Twinkle,Angeart,Miles_Anarsk & AshFromKaaba,1,1
Knock Knock,Angerfist,WaterBottle317,1,1
Biotonic,ani,reallyawesomestuff,1,1
Tetris Speedcore Remix,Annoying Ringtone,OKMasterz,1,1
The 8th Era Short Cut,Anthony Donato,GDWither & gold_wolf,1,1
The Scales of Struggle,Anthony Donato,GDWither,1,1
Clockwork Spooks,antiPLUR,Avibah4uu2,1,1
Speed of Link,AntiPLUR,GDWither,1,1
Mirzam,Aoi vs. siqlo,superluigizero,1,1
Permafrost,Aoi,GDWither,1,1
Re:VeLΔTiØN,Apo11o Program vs NeLiME OVERDRIVE,TotoPowah,1,1
Re:incRnaTiØN ～夕焼ケ世界ノ決別ヲ～,Apo11o program,superluigizero & Azurlexx,1,1
MONSTER,APPROACHING NIRVANA,GDWither,1,1
Jingle Bells ga Tomaranai,Aqours,M4eu,1,1
Mijuku DREAMER,Aqours,M4eu,1,1
"Hello, Gordon! (Dr. C's Bumpin' Mix)",Aquacycle,DyamoDash,1,1
Psylent Crazy Night,aran & Kobaryo,ZitroNitro,1,1
L.F.O,aran,GDWither,1,1
Altros,ARForest,Naoriwa,1,1
Journey,ARForest,Iamuss76 & superluigizero,1,1
Kegare Naki Bara Juuji,Ariabl'eyeS,OKZitro,1,1
Contingency Contract 1,Arknights,OKZitro & DyamoDash,1,1
ZEИITH,Ashrount vs. polysha,Azurlexx,1,1
Boo Hoo,Assertive Fluttershy,Username_NotRequired,1,1
Astronomia (Camellia Remix),Camellia,EA_Crazed,1,1
Wario's Gold Mine,Asuka Ota & Ryo Nagamatsu,Username_NotRequired,1,1
Wii Rainbow Road (Remix),Asuka Ota,Username_NotRequired,1,1
Memme,Avalanche,WaterBottle317,1,1
Levels (8-bit Remix),Avicii,Username_NotRequired,1,1
boku-boku (SuketchP Remix),AVTechNO,Iamuss76,1,1
100sec Cat Dreams,Ayatsugu Revolved,Naoriwa,1,1
Teichopsia,Ayiko ft. Shoko,Azurlexx,1,1
Koyoi mofumofu!!,Azumi Waki,AddictedToping,1,1
Dead Body Reported,A_A_RonHD,Meteor_Melee,1,1
Take on Me (Milkshake's Silly DnB Mix),a-ha,Username_NotRequired,1,1
"Cheshire,s Dance",a_hisa,gold_wolf,1,1
Star Prism,a_hisa,ZitroNitro,1,1
